Test Size,Random State,Neighbors,Weight,Metric,Accuracy,Precision,Recall,Specificity
0.15,123,51,uniform,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,51,uniform,manhattan,0.56,0.56,1.0,0.0
0.15,123,51,distance,euclidean,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,51,distance,manhattan,0.56,0.56,1.0,0.0
0.15,456,1,uniform,euclidean,0.68,0.5555555555555556,1.0,0.4666666666666667
0.15,456,1,uniform,manhattan,0.64,0.5263157894736842,1.0,0.4
0.15,456,1,distance,euclidean,0.68,0.5555555555555556,1.0,0.4666666666666667
0.15,456,1,distance,manhattan,0.64,0.5263157894736842,1.0,0.4
0.15,456,3,uniform,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,3,uniform,manhattan,0.6,0.5,1.0,0.3333333333333333
0.15,456,3,distance,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,3,distance,manhattan,0.6,0.5,1.0,0.3333333333333333
0.15,456,5,uniform,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,5,uniform,manhattan,0.48,0.43478260869565216,1.0,0.13333333333333333
0.15,456,5,distance,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,5,distance,manhattan,0.48,0.43478260869565216,1.0,0.13333333333333333
0.15,456,7,uniform,euclidean,0.48,0.43478260869565216,1.0,0.13333333333333333
0.15,456,7,uniform,manhattan,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,7,distance,euclidean,0.48,0.43478260869565216,1.0,0.13333333333333333
0.15,456,7,distance,manhattan,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,9,uniform,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,9,uniform,manhattan,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,9,distance,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,9,distance,manhattan,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,11,uniform,euclidean,0.4,0.391304347826087,0.9,0.06666666666666667
0.15,456,11,uniform,manhattan,0.48,0.43478260869565216,1.0,0.13333333333333333
0.15,456,11,distance,euclidean,0.4,0.391304347826087,0.9,0.06666666666666667
0.15,456,11,distance,manhattan,0.48,0.43478260869565216,1.0,0.13333333333333333
0.15,456,13,uniform,euclidean,0.4,0.391304347826087,0.9,0.06666666666666667
0.15,456,13,uniform,manhattan,0.48,0.43478260869565216,1.0,0.13333333333333333
0.15,456,13,distance,euclidean,0.4,0.391304347826087,0.9,0.06666666666666667
0.15,456,13,distance,manhattan,0.48,0.43478260869565216,1.0,0.13333333333333333
0.15,456,19,uniform,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,19,uniform,manhattan,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,19,distance,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
