Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall
0.15,89,1000.0,l1,liblinear,,0.6928571428571428,0.7501695415008108,0.7397058823529412
0.15,89,1000.0,l1,liblinear,balanced,0.6928571428571428,0.7501695415008108,0.7397058823529412
0.15,89,1000.0,l2,liblinear,,0.6785714285714286,0.7316176470588236,0.7397058823529412
0.15,89,1000.0,l2,liblinear,balanced,0.6928571428571428,0.7469677871148459,0.7514705882352942
0.2,42,0.1,l1,liblinear,,0.6806267806267805,0.7553581222698871,0.7161764705882353
0.2,42,0.1,l1,liblinear,balanced,0.666096866096866,0.7752788388082507,0.6441176470588236
0.2,42,0.1,l2,liblinear,,0.7193732193732194,0.7847899159663865,0.7551470588235294
0.2,42,0.1,l2,liblinear,balanced,0.7116809116809117,0.7993514328808446,0.7183823529411765
0.2,42,1.0,l1,liblinear,,0.7424501424501424,0.7945284780578898,0.7919117647058823
0.2,42,1.0,l1,liblinear,balanced,0.6974358974358974,0.7857142857142857,0.7080882352941177
0.2,42,1.0,l2,liblinear,,0.697150997150997,0.7565522875816993,0.7558823529411764
0.2,42,1.0,l2,liblinear,balanced,0.6971509971509973,0.7698669467787116,0.7316176470588236
0.2,42,10.0,l1,liblinear,,0.6376068376068377,0.7099206349206348,0.7088235294117646
0.2,42,10.0,l1,liblinear,balanced,0.6301994301994303,0.7059990662931839,0.6970588235294117
0.2,42,10.0,l2,liblinear,,0.6441595441595441,0.7161111111111111,0.7080882352941177
0.2,42,10.0,l2,liblinear,balanced,0.629059829059829,0.708968253968254,0.6838235294117647
0.2,42,100.0,l1,liblinear,,0.652991452991453,0.7185448916408669,0.7220588235294118
0.2,42,100.0,l1,liblinear,balanced,0.652991452991453,0.7185448916408669,0.7220588235294118
0.2,42,100.0,l2,liblinear,,0.6521367521367522,0.720687748783724,0.7205882352941176
0.2,42,100.0,l2,liblinear,balanced,0.6447293447293447,0.7170112781954887,0.7088235294117646
0.2,42,1000.0,l1,liblinear,,0.62991452991453,0.7080629174746822,0.6852941176470588
0.2,42,1000.0,l1,liblinear,balanced,0.62991452991453,0.7080629174746822,0.6852941176470588
0.2,42,1000.0,l2,liblinear,,0.6370370370370371,0.7096428571428571,0.7088235294117646
0.2,42,1000.0,l2,liblinear,balanced,0.6370370370370371,0.7096428571428571,0.7088235294117646
0.2,123,0.1,l1,liblinear,,0.6059829059829059,0.691421568627451,0.6757352941176471
0.2,123,0.1,l1,liblinear,balanced,0.613960113960114,0.7362637362637362,0.6029411764705882
0.2,123,0.1,l2,liblinear,,0.69002849002849,0.7726923076923077,0.7227941176470588
0.2,123,0.1,l2,liblinear,balanced,0.6897435897435897,0.8287667887667889,0.6625
0.2,123,1.0,l1,liblinear,,0.7048433048433049,0.787170868347339,0.7477941176470588
0.2,123,1.0,l1,liblinear,balanced,0.7122507122507123,0.8129201680672269,0.7352941176470588
0.2,123,1.0,l2,liblinear,,0.71994301994302,0.8068181818181819,0.7470588235294118
