Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall,Specificity
0.2,89,0.1,l2,liblinear,balanced,0.696969696969697,0.8421052631578947,0.6956521739130435,0.7
0.2,89,1.0,l1,liblinear,,0.6363636363636364,0.7391304347826086,0.7391304347826086,0.4
0.2,89,1.0,l1,liblinear,balanced,0.6666666666666666,0.7727272727272727,0.7391304347826086,0.5
0.2,89,1.0,l2,liblinear,,0.6363636363636364,0.7391304347826086,0.7391304347826086,0.4
0.2,89,1.0,l2,liblinear,balanced,0.7272727272727273,0.85,0.7391304347826086,0.7
0.2,89,10.0,l1,liblinear,,0.6666666666666666,0.75,0.782608695652174,0.4
0.2,89,10.0,l1,liblinear,balanced,0.7575757575757576,0.8260869565217391,0.8260869565217391,0.6
0.2,89,10.0,l2,liblinear,,0.696969696969697,0.782608695652174,0.782608695652174,0.5
0.2,89,10.0,l2,liblinear,balanced,0.7575757575757576,0.8260869565217391,0.8260869565217391,0.6
0.2,89,100.0,l1,liblinear,,0.6363636363636364,0.7391304347826086,0.7391304347826086,0.4
0.2,89,100.0,l1,liblinear,balanced,0.6363636363636364,0.7391304347826086,0.7391304347826086,0.4
0.2,89,100.0,l2,liblinear,,0.6666666666666666,0.75,0.782608695652174,0.4
0.2,89,100.0,l2,liblinear,balanced,0.7272727272727273,0.7916666666666666,0.8260869565217391,0.5
0.2,89,1000.0,l1,liblinear,,0.6363636363636364,0.7391304347826086,0.7391304347826086,0.4
0.2,89,1000.0,l1,liblinear,balanced,0.6363636363636364,0.7391304347826086,0.7391304347826086,0.4
0.2,89,1000.0,l2,liblinear,,0.6363636363636364,0.7391304347826086,0.7391304347826086,0.4
0.2,89,1000.0,l2,liblinear,balanced,0.6363636363636364,0.7391304347826086,0.7391304347826086,0.4
0.25,42,0.1,l1,liblinear,,0.5476190476190477,0.625,0.6,0.47058823529411764
0.25,42,0.1,l1,liblinear,balanced,0.5,0.6111111111111112,0.44,0.5882352941176471
0.25,42,0.1,l2,liblinear,,0.6428571428571429,0.6923076923076923,0.72,0.5294117647058824
0.25,42,0.1,l2,liblinear,balanced,0.5952380952380952,0.6818181818181818,0.6,0.5882352941176471
0.25,42,1.0,l1,liblinear,,0.6904761904761905,0.7142857142857143,0.8,0.5294117647058824
0.25,42,1.0,l1,liblinear,balanced,0.6904761904761905,0.7307692307692307,0.76,0.5882352941176471
0.25,42,1.0,l2,liblinear,,0.6904761904761905,0.7142857142857143,0.8,0.5294117647058824
0.25,42,1.0,l2,liblinear,balanced,0.6904761904761905,0.75,0.72,0.6470588235294118
