Accuracy,Precision,Recall,Specificity,Depth,Min_Samples_Split,Min_Samples_Leaf,Test_Size,Random_State
0.5606060606060606,0.5635845635845637,0.5606060606060606,0.46153846153846156,6,2,5,0.4,123
0.5303030303030303,0.5340909090909091,0.5303030303030303,0.36363636363636365,6,2,5,0.4,456
0.7727272727272727,0.7937915742793792,0.7727272727272727,0.75,6,2,5,0.4,89
0.76,0.7743589743589743,0.76,0.8,6,2,6,0.15,42
0.52,0.5105555555555555,0.52,0.36363636363636365,6,2,6,0.15,123
0.52,0.5532467532467532,0.52,0.4666666666666667,6,2,6,0.15,456
0.68,0.7444155844155844,0.68,0.7142857142857143,6,2,6,0.15,89
0.6666666666666666,0.6850490196078431,0.6666666666666666,0.6923076923076923,6,2,6,0.2,42
0.6060606060606061,0.6204322638146168,0.6060606060606061,0.6428571428571429,6,2,6,0.2,123
0.6363636363636364,0.6478114478114478,0.6363636363636364,0.65,6,2,6,0.2,456
0.696969696969697,0.7157287157287158,0.696969696969697,0.6,6,2,6,0.2,89
0.5476190476190477,0.560930735930736,0.5476190476190477,0.5294117647058824,6,2,6,0.25,42
0.5952380952380952,0.5935846560846562,0.5952380952380952,0.5263157894736842,6,2,6,0.25,123
0.7142857142857143,0.7201298701298702,0.7142857142857143,0.7083333333333334,6,2,6,0.25,456
0.7619047619047619,0.7925824175824174,0.7619047619047619,0.75,6,2,6,0.25,89
0.54,0.5527214170692432,0.54,0.5909090909090909,6,2,6,0.3,42
0.58,0.5872,0.58,0.5909090909090909,6,2,6,0.3,123
0.56,0.5965714285714285,0.56,0.37037037037037035,6,2,6,0.3,456
0.66,0.695,0.66,0.6,6,2,6,0.3,89
0.6206896551724138,0.6302021403091558,0.6206896551724138,0.64,6,2,6,0.35,42
0.6551724137931034,0.6551724137931034,0.6551724137931034,0.6,6,2,6,0.35,123
0.5517241379310345,0.5695402298850576,0.5517241379310345,0.36666666666666664,6,2,6,0.35,456
0.7413793103448276,0.78249661933739,0.7413793103448276,0.7647058823529411,6,2,6,0.35,89
0.6363636363636364,0.6631016042780749,0.6363636363636364,0.6923076923076923,6,2,6,0.4,42
0.6060606060606061,0.6060606060606061,0.6060606060606061,0.5,6,2,6,0.4,123
0.5454545454545454,0.5500505561172901,0.5454545454545454,0.3939393939393939,6,2,6,0.4,456
0.696969696969697,0.705922865013774,0.696969696969697,0.55,6,2,6,0.4,89
0.68,0.68,0.68,0.6,6,2,7,0.15,42
0.56,0.5494117647058824,0.56,0.36363636363636365,6,2,7,0.15,123
0.52,0.5532467532467532,0.52,0.4666666666666667,6,2,7,0.15,456
0.6,0.6675324675324675,0.6,0.5714285714285714,6,2,7,0.15,89
0.5757575757575758,0.6421356421356421,0.5757575757575758,0.7692307692307693,6,2,7,0.2,42
0.5454545454545454,0.5498316498316499,0.5454545454545454,0.5,6,2,7,0.2,123
0.6363636363636364,0.6631016042780749,0.6363636363636364,0.6,6,2,7,0.2,456
0.6666666666666666,0.6763085399449036,0.6666666666666666,0.5,6,2,7,0.2,89
0.7142857142857143,0.747629944426283,0.7142857142857143,0.8235294117647058,6,2,7,0.25,42
0.5238095238095238,0.5195518207282913,0.5238095238095238,0.42105263157894735,6,2,7,0.25,123
0.6666666666666666,0.6944444444444444,0.6666666666666666,0.5833333333333334,6,2,7,0.25,456
0.7380952380952381,0.7318810222036027,0.7380952380952381,0.5,6,2,7,0.25,89
0.6,0.6044871794871794,0.6,0.5909090909090909,6,2,7,0.3,42
0.42,0.41701149425287354,0.42,0.3181818181818182,6,2,7,0.3,123
0.6,0.6217317487266553,0.6,0.48148148148148145,6,2,7,0.3,456
0.68,0.7221674876847292,0.68,0.6666666666666666,6,2,7,0.3,89
0.5862068965517241,0.608944618599791,0.5862068965517241,0.68,6,2,7,0.35,42
0.603448275862069,0.5950670498084291,0.603448275862069,0.4,6,2,7,0.35,123
0.5172413793103449,0.5287356321839081,0.5172413793103449,0.3333333333333333,6,2,7,0.35,456
0.6896551724137931,0.7007306063567407,0.6896551724137931,0.5294117647058824,6,2,7,0.35,89
0.5606060606060606,0.5761765116603826,0.5606060606060606,0.5384615384615384,6,2,7,0.4,42
0.6515151515151515,0.6454943775469558,0.6515151515151515,0.5,6,2,7,0.4,123
0.6212121212121212,0.6434782608695653,0.6212121212121212,0.42424242424242425,6,2,7,0.4,456
0.7272727272727273,0.720117845117845,0.7272727272727273,0.5,6,2,7,0.4,89
0.84,0.8538461538461539,0.84,0.9,6,2,8,0.15,42
0.56,0.5494117647058824,0.56,0.36363636363636365,6,2,8,0.15,123
0.52,0.5532467532467532,0.52,0.4666666666666667,6,2,8,0.15,456
0.6,0.6675324675324675,0.6,0.5714285714285714,6,2,8,0.15,89
0.6060606060606061,0.6631701631701632,0.6060606060606061,0.7692307692307693,6,2,8,0.2,42
0.5454545454545454,0.5330578512396695,0.5454545454545454,0.35714285714285715,6,2,8,0.2,123
0.5757575757575758,0.6020499108734403,0.5757575757575758,0.55,6,2,8,0.2,456
0.6666666666666666,0.6974358974358975,0.6666666666666666,0.6,6,2,8,0.2,89
0.7619047619047619,0.7686607823907594,0.7619047619047619,0.7647058823529411,6,2,8,0.25,42
0.6190476190476191,0.6235827664399093,0.6190476190476191,0.631578947368421,6,2,8,0.25,123
0.6666666666666666,0.6818181818181819,0.6666666666666666,0.625,6,2,8,0.25,456
0.7619047619047619,0.7619047619047619,0.7619047619047619,0.5833333333333334,6,2,8,0.25,89
0.54,0.559080459770115,0.54,0.6363636363636364,6,2,8,0.3,42
0.42,0.41701149425287354,0.42,0.3181818181818182,6,2,8,0.3,123
0.56,0.5965714285714285,0.56,0.37037037037037035,6,2,8,0.3,456
0.66,0.6665441176470588,0.66,0.4666666666666667,6,2,8,0.3,89
0.6724137931034483,0.6789408866995074,0.6724137931034483,0.68,6,2,8,0.35,42
0.6551724137931034,0.6525165988434355,0.6551724137931034,0.56,6,2,8,0.35,123
0.5,0.509325681492109,0.5,0.3,6,2,8,0.35,456
0.7068965517241379,0.7120689655172414,0.7068965517241379,0.5294117647058824,6,2,8,0.35,89
