Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall,Specificity
0.25,123,10.0,l1,liblinear,balanced,0.6190476190476191,0.6206896551724138,0.782608695652174,0.42105263157894735
0.25,123,10.0,l2,liblinear,,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,123,10.0,l2,liblinear,balanced,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,123,100.0,l1,liblinear,,0.6666666666666666,0.6551724137931034,0.8260869565217391,0.47368421052631576
0.25,123,100.0,l1,liblinear,balanced,0.6666666666666666,0.6551724137931034,0.8260869565217391,0.47368421052631576
0.25,123,100.0,l2,liblinear,,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,123,100.0,l2,liblinear,balanced,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,123,1000.0,l1,liblinear,,0.6904761904761905,0.6666666666666666,0.8695652173913043,0.47368421052631576
0.25,123,1000.0,l1,liblinear,balanced,0.6904761904761905,0.6666666666666666,0.8695652173913043,0.47368421052631576
0.25,123,1000.0,l2,liblinear,,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,123,1000.0,l2,liblinear,balanced,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,456,0.1,l1,liblinear,,0.5952380952380952,0.5142857142857142,1.0,0.2916666666666667
0.25,456,0.1,l1,liblinear,balanced,0.6904761904761905,0.631578947368421,0.6666666666666666,0.7083333333333334
0.25,456,0.1,l2,liblinear,,0.6904761904761905,0.6086956521739131,0.7777777777777778,0.625
0.25,456,0.1,l2,liblinear,balanced,0.7380952380952381,0.6666666666666666,0.7777777777777778,0.7083333333333334
0.25,456,1.0,l1,liblinear,,0.7380952380952381,0.6521739130434783,0.8333333333333334,0.6666666666666666
